idx,Score,Text
0,Negative,salom bu negative
1,Negative,"Toshkentdan yigishtirib ketsin ukituvchilarini,
xech kaysi uyiga ketgisi kelmaydi"
2,Negative,"Samarqandda hamma oliy ma'lumotlilar ishsiz sababi ish sorab Mehnat berjasiga borsa deriktirni raqami yozuvli norm oylik yozilgan qongiroq qilsang ishchi olingan diydi yoki borsang shapkasidan gaplashadi
Ishlamoqchi bolganlar bir dunyo shapkasini tiqishtirmasang
ish yoq"
3,Negative,Pora berib OLIYY qlishni iloji yo‘qmikana???
4,Negative,Putin oʻlganidan keyin Qrim Ukrainaga qaytarib beriladi.
5,Neutral,Putin vsegda pravilno govorit
6,Neutral,Putin postida oʻlguncha qolasa bu ziddiyatlar davom etaayeradi manimcha
7,Neutral,Charchamas ekanda tinchgina yashasangchi deydigan odam yoʻq
8,Positive,Tinchlik boʻsin
9,Negative,Bu isqirt Suryadeyam ancha Musulmonni qirvordi
10,Neutral,Nafs qursin ularni yoʻldan urgan.
11,Neutral,Unda_biz_axolini_nima_aybi_bor
12,Negative,"Solik, shtraf,Yevropani tushiga kirmagan solik olish búyicha birinchi lekin Pul túlashga kelgandi Zimbabve ligi esiga tushib koladi!"
13,Neutral,Ichingdan top bulibdida
14,Neutral,"Wuniyam ko'romalrin, raz chiqardilarinmi
chidalarin"
15,Neutral,Texnik xodimlar Amerikadan kelganmikan. Ularni ushlab jazolash imkoni yukmi
16,Negative,Tulov kilib bermaslikni innovatsion usulini uylab topadde tinib tinchimanan odamlar
17,Negative,Zur bupti buyam kam bularga
18,Positive,"«Texnik xizmat markazi xodimlari birovlarning 11 mlrd soʻmlik keshbekini oʻzini nomiga oʻzlashtirib olibdi» Oʻqishga eringanlar uchun ️.
Eng qizigʻi tadbirkor 1 ta chek bermasa jarima, bular 16 mingta chekni oʻzlashtirvorsa jim-jit.
Soliqlar pasayib soddalashtirilma
gunicha sichqon mushuk oʻyini boʻlaveradi."
19,Neutral,Ugrini karokchi urib ketibdida
20,Neutral,"Oʻzi DSQ gʻirt gʻirrom tashkilot ekan. Yeb qoʻydilaringmi, endi toʻla erkak boʻlib. Nega qolganlar ham jabr koʻrishi kerak? Hayron boʻluvdim nega tushirilgan cheklar tasdiqlanmayapti
deb."
21,Neutral,"Solikdan pul olish,
bamisoli , Tuyadan yongok tushishini kutgandek."
22,Negative,Fakat xalkni kul kilib xalkni pulini shilish bu tepadigilarni maksadi va ishlarni xm a tomoni buk siydik kildi mana shunaka monopoliya DXS xodimlari.
23,Neutral,UZI ishonch yuk ediku pul tulashiga Yana kozellarga xam tulaymiz degandi
24,Positive,"Keshbek xarid qilgan xalq uchun chiqarilgan. Lekin tadbirkorlar uni oʻzlari yechib olishyapti. Yoki kassiri, yoki texnikasini nazorat qilib turuvchi texnigi, yoki QR kod falshivыy. Bu xalqni xaqqini yeyish… yaxshi emas…"
25,Neutral,Avval piyeda yurganlar 10ming kadam uchun pulini yukotdilar endi keshbekni yukotdilaring biron narsani bajara olmasalaring oxirigacha nima kerak chikarib xalkni ovora kilib.
26,Neutral,Boshqalar ro'yhatdan o'tkazgan cheklarni qayyadan ózini nomidan kirĝizganmi bu uchovlon shunda?
27,Negative,Vezde svoi moshenniki naydutsya
28,Neutral,AXMOKONA KABUL KILINGAN KONUN KOIDALARNING OKIBATI BUNDAN XAM BATTAR BULADI XALI....
29,Negative,Chichkok
30,Neutral,"A kak oni monetizirovali ? Poluchayetsya protiv gosudarstva poshli? Xiщeniye gos imuщestva osobo v krupnыx razmerax, poddelka dokumentov , OPG"
31,Negative,"Oʻzi orqani qoʻl bilan tutib, yopib yuradigan davr kebqobti, qimirlagan narsani qoʻyvorishmiyobdi,
yulvomaguncha"
32,Neutral,Nima kutugandilar
33,Neutral,Boshlandi...
34,Negative,Kontingent dabdala
35,Negative,Uzingnikini uzing kil buliptiku-a
36,Negative,Chekinam ceshbekinam boshlaringdan qosin‍️
37,Negative,Vay onangni emgur shuyam komabti e koyil
38,Neutral,Farqi nima endi chek boʻlsa boʻldida
39,Negative,Kimga nima foyda prosta odamlarni boqamandalikka urgatganimiz qolebdi xolos
40,Negative,110 mln ÷ 3 = 36.666 mln yomonmas 1 oyda. Soliqchi bosam bolarkan.
41,Neutral,"Kushirboyevga chuntakingdan tulisan deyishgan
Baxonasini topibdi"
42,Neutral,"Solik xodimi oladimi yeki boshkami nima alokasi bor ? chek suradinglar , yegib berilibti , endi vadani bajarmasanglar nechchi pullik lavz obruyingiz koladi ? Xozirgi yigitlar xam aytadi, xam kaytadi ! "
43,Negative,Ula battar bul DSK
44,Positive,Astagfirillax
45,Negative,"Shuni ishlab chiqdilarin cheklarni yarimta yurumta berishni boshladi magazindigi sotuvchila, ‍️"
46,Neutral,Toʻgʻri qilibdi
47,Neutral,To'g'ri ish bo'libdi.
