idx,Score,Text
1,Positive,Sizzi rossa xurmat qilaman aka
2,Positive,Smash alla
3,Positive,Snariyga gop yòq chotki musofirlar uchun bir ibrat
4,Neutral,Snouden haqida rolik bo'lsin
5,Neutral,Snouden haqida video chiqsa  original intervyusini tarjima qilinglar iltimos
6,Positive,sog' bo'ling ikkingiz ham
7,Negative,Sokinmalaring kot kip tashiyman
8,Neutral,Soliqchi akmalu soliqtan qochip yuripsami akmal
9,Neutral,Soliqchiku bu tupikodam
10,Negative,somsa
11,Neutral,Somsa somsaga kelin bularkanda
12,Positive,So'nggi xalifa Abdumajid bo'ladi  Abdulhamid II emas
13,Neutral,soʻngi 10 ming yil ichida
14,Neutral,soʻngi 10 ming yil ichida
15,Neutral,Soʻngi 10 ming yil ichida dedimi
16,Neutral,Soʻngi 10 ming yil ichida dedimi
17,Neutral,Sonunu düşünen kahraman olamaz
18,Neutral,soqovmikin dipan jim tursa
19,Neutral,Soska bu oynash topib olgan.
20,Neutral,So'tak manqurt
21,Neutral,Soʻz qudratini bilgan deyilganku
22,Positive,Spektakl bor edi shunday
23,Neutral,Ss
24,Neutral,Sslom
25,Neutral,Ssr sabab deydi mustaqil boʻlganimizga 30 yil boʻldi nega suv koʻpaymayabdi
26,Neutral,Ssr sabab deydi mustaqil boʻlganimizga 30 yil boʻldi nega suv koʻpaymayabdi
27,Positive,SSSR haqida ham batafsil yoritilgan video chiqarseyiz yaxshi bo'lardi
28,Negative,SSSR haqida video oling
29,Negative,SSSR haqida video oling
30,Neutral,Ssssssssu
31,Negative,Studendlarga mazza ekan sexhona ekan bet
32,Positive,SubahanOllohu va bihamdihi SubahanOllohulaziym Оллох рози болсин килвоткан амалларимиздан
33,Positive,SubhanA‘lloh
34,Positive,SubhanaAllah
35,Positive,Subhanallah
36,Positive,Subhanallah! Alloh shunday idrok bersin hammamizga. Oʻzi bergan sinovlardan oʻtish uchun.
37,Positive,Sübhanallah. Allah hammamizga shunday Uluğ işlar qilishni nasip qilsin
38,Positive,Subhanalloh
39,Positive,Subhanalloh 
40,Positive,Subhanalloh 
41,Positive,SubhanAlloh Alloh rozi bosin imoni mustaxkam insonlardan
42,Positive,SubhanAlloh juda ideal yoritib berdiyz
43,Positive,Subhanalloh ko'zlarimda yosh bn ko'rdim dinimiz payg'ambarimiz Muhammad.S.A.V yo'llari qanchalar nurli va go'zal
44,Positive,Subhanollo  Alhamdulillah  Allohu akbar 
45,Positive,SUBHON OLLOH
46,Positive,Subhonolloh
47,Positive,Subhonolloh.Subhonolloh. Subhonolloh!
48,Positive,Subxanollox
49,Positive,Subxanollox .
50,Positive,SUBXANOLLOX..Xayot oģir yashash qiyin.pul qursina.pul..
51,Positive,Suhanolloh joyllari janat bulsin bunday isonllar kamdam kam tugiladii
52,Positive,Suhbat juda zo'r bo'libdi
53,Positive,suhbat juda zo'r bo'libti. mazza qildim. Lekin shunaqa uchrashuvlarni dumaloq stolda yoki sal joylashuvni boshqacharoq qilila. Bu doprosga o'xhab ko'rinib qolgan. 2 kishi tindirmay savol beryapti  Expert javob beryapti. podcastdan ko'ra tergovga o'xshab qolgan
54,Positive,Suhbat uchun ikkalaringizga ham rahmat. Alloh ilmlaringizni yanada ziyoda qilsin illohim. O'zi rozi bo'lsin
55,Positive,Suhbat uchun katta rahmat juda manfatli bo'ldi
56,Positive,Suhbatingiz judayam mazmunli va tasirli ekan bundan keyingi xayotimizda juda katta roʻl oʻynaydi deb oʻylayman .Umringiz ziyoda bolsin martabangiz baland boʻlsin.Hazrat Muhammad Sodiqni yoʻllarini bersin.
57,Neutral,Suleyman Çakır Aladdın Çakıcı 
58,Positive,Sultan Abdulhamid . Adnan Mandras. Erbakan ... Rajab Tayib Erdoğan Alloh ulardan rozi bolsin. Rosulloh s.a.vga qoshni qilsin... insha'Allah ogillarimizdan Islom ustinlarini chiqarsin Allohim... Amin Allohu Akbar
59,Positive,Sultan Abdülhamid Han  Necmettin Erbakan  R. T. Erdoğan Allah razı olsun sizlerden 
60,Neutral,Sulton Abdulhamid 2 haqida molumot bering.
61,Neutral,Sulton Abdulhamid ni ruhlarini shod boʻlsin
62,Positive,Sulton Abdulhamid oxirgi sulton bolmaganku soʻngi sulton Mehmed 6 chi bolgan bolgan 1918 1922 yillar
63,Positive,Sulton Abdulhamid xech kim shunday qattiyatli va Brodarlarini ximoya qilaolmagan bir shox chiqdi ammo u yolgiz edi Saddam Xusayin
64,Positive,SULTONIM KIBRLANMANG ZERO SIZDAN BUYUK ALLOH BOR  QANDO MANOLI GAPLAR  EH SULTONIM SULTONIM JONIZ JANNATDA BULSIN  SULTON ABDULHAMIDXON AL MUZAFFAR DOIMO
65,Positive,Sunday dostlar Aka ukalar bor bolsin
66,Neutral,Sungi 10 ming yil ichida diydimi
67,Neutral,Sungi 10 ming yil ichida diydimi
68,Positive,Sungi halifa sulton Vahdettin
69,Positive,Super
70,Positive,Super
71,Positive,super
72,Positive,Super Mahmud aka gazini bosing. Omad
73,Positive,super podcast xuddi 1000$ lik konsultatsiya olganday bo'ldim Shoxrux respekt UZB dagi zapusk bo'yicha No1 expert qoyilmaqom
74,Positive,Superr
75,Neutral,Surxondaryodan salom
76,Neutral,Sutak
77,Neutral,Suv olib kelish kerak
78,Neutral,Suv olib kelish kerak
79,Neutral,SUV TOʻLDIRISHGA AVOZ BERADIGANLAR NECHTAMIZ
80,Neutral,SUV TOʻLDIRISHGA AVOZ BERADIGANLAR NECHTAMIZ
81,Neutral,Suyish kerak tamom
82,Positive,Suzlari ma'noli. Ibrat olsa buladigan taraflari kup. Ayniqsa ma'ruzalari yoqimli.
83,Positive,Syv kaerdan keldi bizga by dizik aeting biz juda xyrsand byldik
84,Positive,Syv kaerdan keldi bizga by dizik aeting biz juda xyrsand byldik
85,Positive,Tabarokalloh
86,Positive,Tabarokalloh
87,Positive,Tabriklayman kornamak
88,Neutral,Tahsin posho nmaga hiyonat qildi aytvorila
89,Positive,tan berdim 
90,Positive,Tan olish kerak qashqirlar makoni nomer 1
91,Positive,Tarbiya qilib voyaga yetkazgan ota- onasiga ming rahmat. Ilohim umri uzoq bo‘lsin
92,Positive,Tarifga til ojiz ajoyip juda ajoyip
93,Positive,tariflashga so'z ojiz.
94,Neutral,Tarjima qilolmagan joyiz: Turkiyani lider mamlakat qilamiz...
95,Neutral,tarzmz yoqmas bro qoy degani yoq uka
96,Positive,Tashakkur :)
